family,model,bucket,N,wins,losses,pushes,hit_rate,avg_american,avg_decimal,avg_breakeven,exp_wins,realized_minus_exp,hr_minus_be,profit,roi,avg_implied_ev,unique_weeks,longest_losing_streak,max_drawdown,worst_rolling10,boot_point_roi,boot_2p5,boot_97p5,boot_p_pos,largest_season_share,largest_sel_team_share,per_season,status
ML_CORROBORATED_DISAGREEMENT,CORROB,4-8,124,45,79,0,0.3629,142.11,3.143,0.4106,50.92,-5.92,-0.0477,-13.12,-0.1058,0.1648,47,9,23.08,-8.31,-0.1058,-0.3411,0.162,0.1984,0.4274,0.0806,"{""2020"": {""N"": 53, ""hit_rate"": 0.3396, ""profit"": -15.77, ""roi"": -0.2975}, ""2021"": {""N"": 42, ""hit_rate"": 0.4048, ""profit"": 7.34, ""roi"": 0.1747}, ""2022"": {""N"": 29, ""hit_rate"": 0.3448, ""profit"": -4.69, ""roi"": -0.1618}}",DISCOVERY_NEGATIVE
ML_CORROBORATED_DISAGREEMENT,CORROB,8-12,115,38,76,1,0.3304,180.63,3.1552,0.3727,42.86,-4.86,-0.0423,-12.2,-0.1061,0.2853,48,10,23.57,-10.0,-0.1061,-0.3701,0.1955,0.2238,0.3826,0.0783,"{""2020"": {""N"": 32, ""hit_rate"": 0.4062, ""profit"": 6.66, ""roi"": 0.2082}, ""2021"": {""N"": 39, ""hit_rate"": 0.2308, ""profit"": -14.24, ""roi"": -0.3651}, ""2022"": {""N"": 44, ""hit_rate"": 0.3636, ""profit"": -4.63, ""roi"": -0.1051}}",DISCOVERY_NEGATIVE
ML_CORROBORATED_DISAGREEMENT,CORROB,12+,190,53,137,0,0.2789,254.4,3.677,0.3142,59.7,-6.7,-0.0353,-28.71,-0.1511,0.5916,49,12,28.71,-10.0,-0.1511,-0.3587,0.0639,0.0846,0.3632,0.0842,"{""2020"": {""N"": 59, ""hit_rate"": 0.2203, ""profit"": -19.63, ""roi"": -0.3327}, ""2021"": {""N"": 62, ""hit_rate"": 0.3387, ""profit"": 0.48, ""roi"": 0.0077}, ""2022"": {""N"": 69, ""hit_rate"": 0.2754, ""profit"": -9.56, ""roi"": -0.1386}}",DISCOVERY_NEGATIVE
ML_CORROBORATED_DISAGREEMENT,CORROB,ALL,477,156,320,1,0.327,196.16,3.3535,0.3631,173.21,-17.21,-0.0361,-53.39,-0.1119,0.3522,53,10,55.44,-10.0,-0.1119,-0.2371,0.0196,0.0428,0.3375,0.0566,"{""2020"": {""N"": 157, ""hit_rate"": 0.3248, ""profit"": -26.09, ""roi"": -0.1662}, ""2021"": {""N"": 161, ""hit_rate"": 0.3292, ""profit"": -4.7, ""roi"": -0.0292}, ""2022"": {""N"": 159, ""hit_rate"": 0.327, ""profit"": -22.6, ""roi"": -0.1421}}",DISCOVERY_NEGATIVE
ML_DOG_VALUE_ZONE,QB_ELO,ZONE,115,54,60,1,0.4696,150.87,2.5087,0.4024,46.27,7.73,0.0672,21.93,0.1907,0.1449,51,4,4.16,-2.98,0.1907,-0.0245,0.4037,0.958,0.4,0.0783,"{""2020"": {""N"": 27, ""hit_rate"": 0.4444, ""profit"": 2.98, ""roi"": 0.1104}, ""2021"": {""N"": 42, ""hit_rate"": 0.5238, ""profit"": 12.3, ""roi"": 0.2929}, ""2022"": {""N"": 46, ""hit_rate"": 0.4348, ""profit"": 6.65, ""roi"": 0.1446}}",DISCOVERY_POSITIVE
ML_DOG_VALUE_ZONE,XGB,ZONE,130,60,70,0,0.4615,149.88,2.4988,0.4034,52.44,7.56,0.0582,19.29,0.1484,0.1387,48,6,6.0,-4.88,0.1484,-0.0478,0.3236,0.9344,0.3846,0.0615,"{""2020"": {""N"": 32, ""hit_rate"": 0.4688, ""profit"": 6.66, ""roi"": 0.2081}, ""2021"": {""N"": 50, ""hit_rate"": 0.5, ""profit"": 11.46, ""roi"": 0.2292}, ""2022"": {""N"": 48, ""hit_rate"": 0.4167, ""profit"": 1.17, ""roi"": 0.0244}}",DISCOVERY_POSITIVE
ML_DOG_VALUE_ZONE,AVG,ZONE,149,74,75,0,0.4966,152.42,2.5242,0.3994,59.51,14.49,0.0972,37.55,0.252,0.1413,54,5,6.75,-5.53,0.252,0.0758,0.4328,0.997,0.3758,0.0537,"{""2020"": {""N"": 40, ""hit_rate"": 0.55, ""profit"": 13.71, ""roi"": 0.3427}, ""2021"": {""N"": 56, ""hit_rate"": 0.5357, ""profit"": 20.36, ""roi"": 0.3636}, ""2022"": {""N"": 53, ""hit_rate"": 0.4151, ""profit"": 3.48, ""roi"": 0.0657}}",DISCOVERY_POSITIVE
ML_DOG_VALUE_ZONE,CORROB,ZONE,85,42,43,0,0.4941,158.19,2.5819,0.3905,33.2,8.8,0.1036,23.86,0.2807,0.183,39,6,6.0,-2.81,0.2807,0.0141,0.5485,0.9806,0.3647,0.0588,"{""2020"": {""N"": 24, ""hit_rate"": 0.5833, ""profit"": 11.96, ""roi"": 0.4983}, ""2021"": {""N"": 31, ""hit_rate"": 0.4839, ""profit"": 7.4, ""roi"": 0.2387}, ""2022"": {""N"": 30, ""hit_rate"": 0.4333, ""profit"": 4.5, ""roi"": 0.15}}",DISCOVERY_POSITIVE
ML_DOG_VALUE_ZONE,ALL_MODELS,ZONE,394,188,205,1,0.4772,151.13,2.5113,0.4016,158.22,29.78,0.0756,78.77,0.1999,0.1415,58,11,13.06,-10.0,0.1999,0.0493,0.3556,0.9944,0.3756,0.0558,"{""2020"": {""N"": 99, ""hit_rate"": 0.4949, ""profit"": 23.35, ""roi"": 0.2359}, ""2021"": {""N"": 148, ""hit_rate"": 0.5203, ""profit"": 44.12, ""roi"": 0.2981}, ""2022"": {""N"": 147, ""hit_rate"": 0.4218, ""profit"": 11.3, ""roi"": 0.0769}}",DISCOVERY_POSITIVE
LONG_DOG_201+_CONTEXT,QB_ELO,LONG201+,275,48,226,1,0.1745,355.94,4.5594,0.2402,66.07,-18.07,-0.0657,-65.4,-0.2378,0.3961,58,18,71.1,-10.0,-0.2378,-0.4436,-0.0249,0.0156,0.3673,0.0873,"{""2020"": {""N"": 97, ""hit_rate"": 0.1443, ""profit"": -35.05, ""roi"": -0.3613}, ""2021"": {""N"": 101, ""hit_rate"": 0.198, ""profit"": -11.3, ""roi"": -0.1119}, ""2022"": {""N"": 77, ""hit_rate"": 0.1818, ""profit"": -19.05, ""roi"": -0.2474}}",DISCOVERY_NEGATIVE
