game_id,season,selected_side,p_model,price_american,pin_no_vig_side,pin_am_side,pin_am_opp,plus_money_on_selected,underdog_by_novig,underdog_by_offered,favorite_by_novig,price_is_opponent_price
2022_10_DAL_GB,2022,home,0.454017203411351,172,0.35656010152897805,173,-195,true,true,true,false,false
2022_11_CIN_PIT,2022,home,0.4543027579840644,160,0.3720770106723868,162,-181,true,true,true,false,false
2022_11_LV_DEN,2022,away,0.47017588918205966,122,0.4224502112251056,131,-145,true,true,true,false,false
2022_13_BUF_NE,2022,home,0.4089899606065635,175,0.361145703611457,170,-190,true,true,true,false,false
2022_13_LAC_LV,2022,away,0.4489697600146134,118,0.4394987843650645,122,-135,true,true,true,false,false
2022_13_MIA_SF,2022,away,0.45391687640688994,195,0.32886673747855216,196,-222,true,true,true,false,false
2022_16_LAC_IND,2022,home,0.4458212098955269,170,0.36370984037179227,168,-188,true,true,true,false,false
2022_17_MIN_GB,2022,away,0.47129660560684616,148,0.382272631800042,155,-173,true,true,true,false,false
2023_03_ATL_DET,2023,away,0.4272254481522295,142,0.3914465996728208,148,-168,true,true,true,false,false
2023_03_BUF_WAS,2023,home,0.4489718384101784,200,0.32368769986740503,199,-232,true,true,true,false,false
2023_03_TEN_CLE,2023,away,0.41963968721042066,148,0.378911787155163,156,-178,true,true,true,false,false
2023_04_ATL_JAX,2023,away,0.4931489730872056,150,0.3934794828555368,147,-166,true,true,true,false,false
2023_04_DEN_CHI,2023,home,0.47921942078065893,142,0.41199843668577374,136,-153,true,true,true,false,false
2023_04_MIN_CAR,2023,home,0.43671179582193287,180,0.35211267605633806,176,-200,true,true,true,false,false
2023_04_TB_NO,2023,away,0.45326235855621566,176,0.3481607036511063,179,-204,true,true,true,false,false
2023_05_BAL_PIT,2023,home,0.44103817290249026,190,0.33111901774880204,193,-222,true,true,true,false,false
2023_05_NYJ_DEN,2023,away,0.480654895146271,114,0.43500511770726713,124,-138,true,true,true,false,false
2023_06_DET_TB,2023,home,0.4799631862281143,136,0.4048964218455744,140,-158,true,true,true,false,false
2023_07_WAS_NYG,2023,home,0.44997558746744004,130,0.40173053152039556,142,-160,true,true,true,false,false
2023_08_CLE_SEA,2023,away,0.43158292472842086,176,0.35493200124285956,174,-197,true,true,true,false,false
2023_09_LA_GB,2023,away,0.4326768950126556,168,0.3545424261171656,174,-198,true,true,true,false,false
2023_09_TB_HOU,2023,away,0.48751906511934795,124,0.42350907519446845,130,-145,true,true,true,false,false
2023_09_WAS_NE,2023,away,0.44362360170779325,130,0.4153291193698911,134,-151,true,true,true,false,false
2023_10_SF_JAX,2023,home,0.4974442831905821,146,0.3910197267255392,149,-167,true,true,true,false,false
2023_11_CIN_BAL,2023,away,0.4174156824805716,164,0.3624451972897569,168,-191,true,true,true,false,false
2023_11_LAC_GB,2023,home,0.485650387986484,130,0.4087193460490463,138,-155,true,true,true,false,false
2023_12_BAL_LAC,2023,home,0.4212182667399826,145,0.3925156416007555,148,-166,true,true,true,false,false
2023_12_LA_ARI,2023,home,0.4591739937246836,126,0.4210921117684163,131,-147,true,true,true,false,false
2023_13_CLE_LA,2023,away,0.4654104250358694,160,0.3798722748293328,156,-176,true,true,true,false,false
2023_13_LAC_NE,2023,home,0.4185579933574156,185,0.3431541306206759,183,-209,true,true,true,false,false
2023_14_GB_NYG,2023,home,0.43349190304860385,200,0.32022396502463996,203,-234,true,true,true,false,false
2023_14_PHI_DAL,2023,away,0.43253924511806763,156,0.3725132757390822,161,-182,true,true,true,false,false
2023_15_BAL_JAX,2023,home,0.40748049693485044,180,0.35865030375484913,171,-194,true,true,true,false,false
2023_15_HOU_TEN,2023,away,0.4633994978627314,142,0.3991802275786125,144,-161,true,true,true,false,false
2023_15_LAC_LV,2023,away,0.4859308260810066,136,0.4126277181032224,136,-152,true,true,true,false,false
2023_16_IND_ATL,2023,away,0.4811837238860355,132,0.41429396715358585,135,-151,true,true,true,false,false
2023_17_DET_DAL,2023,away,0.42225928728418194,194,0.33975084937712347,186,-212,true,true,true,false,false
2023_17_PIT_SEA,2023,away,0.4058562738362339,168,0.34201235657546336,184,-210,true,true,true,false,false
2023_18_BUF_MIA,2023,home,0.48323148422952533,130,0.43134435657800146,126,-140,true,true,true,false,false
2023_18_DEN_LV,2023,away,0.4252330459707554,140,0.4011558206018874,142,-161,true,true,true,false,false
2023_18_JAX_TEN,2023,home,0.44334005378050045,150,0.3798722748293328,156,-176,true,true,true,false,false
2023_19_MIA_KC,2023,away,0.44277628597684016,195,0.3235294117647059,200,-230,true,true,true,false,false
2024_04_LA_CHI,2024,away,0.47576880375345487,138,0.3981997101228163,145,-161,true,true,true,false,false
2024_04_MIN_GB,2024,away,0.4665312016555023,124,0.43575788776936086,124,-137,true,true,true,false,false
2024_04_SEA_DET,2024,away,0.4235472224215866,185,0.34771631856782187,180,-203,true,true,true,false,false
2024_04_WAS_ARI,2024,away,0.4411935515073344,152,0.37343291544411844,161,-180,true,true,true,false,false
2024_05_GB_LA,2024,home,0.46452130497156313,130,0.4132639620653319,136,-151,true,true,true,false,false
2024_05_IND_JAX,2024,away,0.48937326408630555,160,0.36630974947487066,166,-186,true,true,true,false,false
2024_06_IND_TEN,2024,away,0.4695767872467278,120,0.43575788776936086,124,-137,true,true,true,false,false
2024_06_SF_SEA,2024,home,0.48178656818687204,172,0.36806635562467604,165,-184,true,true,true,false,false
2024_07_BAL_TB,2024,home,0.47007449953929026,180,0.34771631856782187,180,-203,true,true,true,false,false
2024_07_PHI_NYG,2024,home,0.48397274672315704,140,0.401320172924059,143,-159,true,true,true,false,false
2024_09_NE_TEN,2024,away,0.4472608945920924,146,0.37479849543256316,160,-179,true,true,true,false,false
2024_11_IND_NYJ,2024,away,0.4298350914430922,172,0.34043487810235007,186,-210,true,true,true,false,false
2024_11_KC_BUF,2024,away,0.46096175156193175,114,0.4224502112251056,131,-145,true,true,true,false,false
2024_11_LA_NE,2024,home,0.47821158294646077,176,0.3465414253795997,181,-204,true,true,true,false,false
2024_12_BAL_LAC,2024,home,0.464719921035192,140,0.40609137055837563,140,-156,true,true,true,false,false
2024_14_CIN_DAL,2024,home,0.4865730639995347,180,0.3393085088973019,187,-211,true,true,true,false,false
2024_14_JAX_TEN,2024,away,0.4860193254596902,150,0.3981997101228163,145,-161,true,true,true,false,false
2024_15_GB_SEA,2024,home,0.4472894604080795,130,0.4207141879874127,132,-146,true,true,true,false,false
2024_15_MIA_HOU,2024,away,0.47323629579671944,128,0.41493775933609955,135,-150,true,true,true,false,false
2024_17_DEN_CIN,2024,away,0.4879140744704159,156,0.3780407626561473,158,-176,true,true,true,false,false
2024_18_JAX_IND,2024,away,0.4701118980418315,164,0.36035594342166544,169,-194,true,true,true,false,false
