game_id,season,season_week,family,model,bucket,selected_side,price_american,price_decimal,edge_pp,p_model,implied_ev,w,p_push,profit,breakeven,reconstructed_line,reconstructed_book
2020_02_JAX_TEN,2020,02,ML_QBELO_DISAGREEMENT,QB_ELO,4-8,away,290,3.9,4.389766077155327,0.3027319884447979,0.18065475493471173,0,0,-1.0,0.25641025641025644,7.5,draftkings
2020_02_JAX_TEN,2020,02,LONG_DOG_201+_CONTEXT,QB_ELO,LONG201+,away,290,3.9,4.389766077155327,0.3027319884447979,0.18065475493471173,0,0,-1.0,0.25641025641025644,7.5,draftkings
2020_02_KC_LAC,2020,02,ML_QBELO_DISAGREEMENT,QB_ELO,8-12,home,310,4.1,9.804378354348694,0.336356327910184,0.3790609444317543,0,0,-1.0,0.24390243902439027,8.5,draftkings
2020_02_KC_LAC,2020,02,LONG_DOG_201+_CONTEXT,QB_ELO,LONG201+,home,310,4.1,9.804378354348694,0.336356327910184,0.3790609444317543,0,0,-1.0,0.24390243902439027,8.5,draftkings
2020_02_LA_PHI,2020,02,ML_QBELO_DISAGREEMENT,QB_ELO,4-8,away,110,2.1,5.26534568951173,0.5106687240706899,0.07240432054844881,1,0,1.1,0.47619047619047616,1.5,fanduel
2020_02_MIN_IND,2020,02,ML_QBELO_DISAGREEMENT,QB_ELO,12+,away,156,2.56,14.170205881231935,0.5174039750267523,0.3245541760684858,0,0,-1.0,0.390625,3.5,fanduel
2020_02_NE_SEA,2020,02,ML_QBELO_DISAGREEMENT,QB_ELO,8-12,away,172,2.7199999999999998,10.627167062911164,0.4607626885931835,0.25327451297345904,0,0,-1.0,0.36764705882352944,4.0,draftkings
2020_02_NE_SEA,2020,02,ML_DOG_VALUE_ZONE,QB_ELO,ZONE,away,172,2.7199999999999998,10.627167062911164,0.4607626885931835,0.25327451297345904,0,0,-1.0,0.36764705882352944,4.0,draftkings
2020_02_NO_LV,2020,02,ML_QBELO_DISAGREEMENT,QB_ELO,0-2,away,-204,1.4901960784313726,1.7379277600114151,0.6660912213940251,-0.007393474001060607,0,0,-1.0,0.6710526315789473,4.0,draftkings
2020_02_NYG_CHI,2020,02,ML_QBELO_DISAGREEMENT,QB_ELO,8-12,home,-233,1.4291845493562232,9.340556434287539,0.7690008024381134,0.0990440652870892,1,0,0.429185,0.6996996996996997,5.5,draftkings
2020_02_SF_NYJ,2020,02,ML_QBELO_DISAGREEMENT,QB_ELO,12+,home,275,3.75,14.875894137446755,0.40810585312294395,0.5303969492110399,0,0,-1.0,0.26666666666666666,7.0,draftkings
2020_02_SF_NYJ,2020,02,LONG_DOG_201+_CONTEXT,QB_ELO,LONG201+,home,275,3.75,14.875894137446755,0.40810585312294395,0.5303969492110399,0,0,-1.0,0.26666666666666666,7.0,draftkings
