season,week,season_type,game_id,away_team,home_team,feature_as_of_utc,historical_identity_usage,feature_builder,away_actual_starting_qb_gsis_id,home_actual_starting_qb_gsis_id,away_passing_epa,home_passing_epa,away_prior_dropbacks,home_prior_dropbacks,qb_passing_epa_net_home_minus_away
2018,4,REG,2018_04_NO_NYG,NO,NYG,2018-09-25T12:00:00.000000+0000,POSTGAME_ACTUAL_STARTER_IDENTITY_ONLY,build_qb_pregame_features,00-0020531,00-0022803,0.08863132300230436,-0.044455027860554885,134.0,122.0,-0.13308635086285925
2018,4,REG,2018_04_NYJ_JAX,NYJ,JAX,2018-09-25T12:00:00.000000+0000,POSTGAME_ACTUAL_STARTER_IDENTITY_ONLY,build_qb_pregame_features,00-0034869,00-0031407,-0.03810378528359137,-0.006404425294875525,100.0,116.0,0.03169935998871584
2018,4,REG,2018_04_PHI_TEN,PHI,TEN,2018-09-25T12:00:00.000000+0000,POSTGAME_ACTUAL_STARTER_IDENTITY_ONLY,build_qb_pregame_features,00-0032950,00-0032268,-0.06531704560249793,-0.0864093147106608,42.0,35.0,-0.021092269108162864
2018,4,REG,2018_04_SEA_ARI,SEA,ARI,2018-09-25T12:00:00.000000+0000,POSTGAME_ACTUAL_STARTER_IDENTITY_ONLY,build_qb_pregame_features,00-0029263,00-0034343,-0.030981573642202345,-0.05102530730208707,109.0,8.0,-0.020043733659884724
2018,4,REG,2018_04_SF_LAC,SF,LAC,2018-09-25T12:00:00.000000+0000,POSTGAME_ACTUAL_STARTER_IDENTITY_ONLY,build_qb_pregame_features,00-0033936,00-0022942,-0.05,0.08321378614133043,0.0,112.0,0.13321378614133045
2018,4,REG,2018_04_TB_CHI,TB,CHI,2018-09-25T12:00:00.000000+0000,POSTGAME_ACTUAL_STARTER_IDENTITY_ONLY,build_qb_pregame_features,00-0023682,00-0033869,0.11579288646128141,-0.06265556359423251,116.0,113.0,-0.1784484500555139
2018,5,REG,2018_05_ARI_SF,ARI,SF,2018-10-02T12:00:00.000000+0000,POSTGAME_ACTUAL_STARTER_IDENTITY_ONLY,build_qb_pregame_features,00-0034343,00-0033936,-0.029920821951815935,-0.0497726889972083,36.0,38.0,-0.019851867045392362
2018,5,REG,2018_05_ATL_PIT,ATL,PIT,2018-10-02T12:00:00.000000+0000,POSTGAME_ACTUAL_STARTER_IDENTITY_ONLY,build_qb_pregame_features,00-0026143,00-0022924,0.07043515404263248,0.0064704608752616695,155.0,195.0,-0.06396469316737081
2018,5,REG,2018_05_BAL_CLE,BAL,CLE,2018-10-02T12:00:00.000000+0000,POSTGAME_ACTUAL_STARTER_IDENTITY_ONLY,build_qb_pregame_features,00-0026158,00-0034855,0.014700705401513844,-0.03153848300212121,180.0,67.0,-0.046239188403635056
2018,5,REG,2018_05_DAL_HOU,DAL,HOU,2018-10-02T12:00:00.000000+0000,POSTGAME_ACTUAL_STARTER_IDENTITY_ONLY,build_qb_pregame_features,00-0033077,00-0033537,-0.07261365674425371,0.019445930646377063,129.0,165.0,0.09205958739063078
