season,week,season_type,gameday,game_id,away_team,home_team,team_side,canonical_team,canonical_opponent,actual_starting_qb_name,actual_starting_qb_pfr_id,actual_starting_qb_gsis_id,starter_resolution_class,starter_source,starter_source_game_id,starter_source_locator,starter_source_rank,starter_evidence_class,historical_model_usage,postseason_flag,semantic_exception_flag,official_qb_start_credit,notes
2025,1,REG,2025-09-07,2025_01_TB_ATL,TB,ATL,away,TB,ATL,Baker Mayfield,MayfBa00,00-0034855,STATHEAD_UNAMBIGUOUS_SINGLE_CANDIDATE,STATHEAD_QB_STARTED_QUERY,2025_01_TB_ATL,2025 Stathead pasted rank 262,262,POSTGAME_ACTUAL_STARTER,ORACLE_STARTER_IDENTITY_ONLY,False,False,CREDITED,
2025,1,REG,2025-09-07,2025_01_TB_ATL,TB,ATL,home,ATL,TB,Michael Penix,PeniMi00,00-0039917,STATHEAD_UNAMBIGUOUS_SINGLE_CANDIDATE,STATHEAD_QB_STARTED_QUERY,2025_01_TB_ATL,2025 Stathead pasted rank 213,213,POSTGAME_ACTUAL_STARTER,ORACLE_STARTER_IDENTITY_ONLY,False,False,CREDITED,
2025,1,REG,2025-09-07,2025_01_TEN_DEN,TEN,DEN,away,TEN,DEN,Cam Ward,WardCa00,00-0040676,STATHEAD_UNAMBIGUOUS_SINGLE_CANDIDATE,STATHEAD_QB_STARTED_QUERY,2025_01_TEN_DEN,2025 Stathead pasted rank 9,9,POSTGAME_ACTUAL_STARTER,ORACLE_STARTER_IDENTITY_ONLY,False,False,CREDITED,
2025,1,REG,2025-09-07,2025_01_TEN_DEN,TEN,DEN,home,DEN,TEN,Bo Nix,NixxBo00,00-0039732,STATHEAD_UNAMBIGUOUS_SINGLE_CANDIDATE,STATHEAD_QB_STARTED_QUERY,2025_01_TEN_DEN,2025 Stathead pasted rank 225,225,POSTGAME_ACTUAL_STARTER,ORACLE_STARTER_IDENTITY_ONLY,False,False,CREDITED,
2025,2,REG,2025-09-14,2025_02_ATL_MIN,ATL,MIN,away,ATL,MIN,Michael Penix,PeniMi00,00-0039917,STATHEAD_UNAMBIGUOUS_SINGLE_CANDIDATE,STATHEAD_QB_STARTED_QUERY,2025_02_ATL_MIN,2025 Stathead pasted rank 214,214,POSTGAME_ACTUAL_STARTER,ORACLE_STARTER_IDENTITY_ONLY,False,False,CREDITED,
2025,2,REG,2025-09-14,2025_02_ATL_MIN,ATL,MIN,home,MIN,ATL,J.J. McCarthy,McCaJJ00,00-0039923,STATHEAD_UNAMBIGUOUS_SINGLE_CANDIDATE,STATHEAD_QB_STARTED_QUERY,2025_02_ATL_MIN,2025 Stathead pasted rank 253,253,POSTGAME_ACTUAL_STARTER,ORACLE_STARTER_IDENTITY_ONLY,False,False,CREDITED,
2025,2,REG,2025-09-14,2025_02_BUF_NYJ,BUF,NYJ,away,BUF,NYJ,Josh Allen,AlleJo02,00-0034857,STATHEAD_UNAMBIGUOUS_SINGLE_CANDIDATE,STATHEAD_QB_STARTED_QUERY,2025_02_BUF_NYJ,2025 Stathead pasted rank 554,554,POSTGAME_ACTUAL_STARTER,ORACLE_STARTER_IDENTITY_ONLY,False,False,CREDITED,
2025,2,REG,2025-09-14,2025_02_BUF_NYJ,BUF,NYJ,home,NYJ,BUF,Justin Fields,FielJu00,00-0036945,STATHEAD_UNAMBIGUOUS_SINGLE_CANDIDATE,STATHEAD_QB_STARTED_QUERY,2025_02_BUF_NYJ,2025 Stathead pasted rank 464,464,POSTGAME_ACTUAL_STARTER,ORACLE_STARTER_IDENTITY_ONLY,False,False,CREDITED,
2025,2,REG,2025-09-14,2025_02_CAR_ARI,CAR,ARI,away,CAR,ARI,Bryce Young,YounBr01,00-0039150,STATHEAD_UNAMBIGUOUS_SINGLE_CANDIDATE,STATHEAD_QB_STARTED_QUERY,2025_02_CAR_ARI,2025 Stathead pasted rank 23,23,POSTGAME_ACTUAL_STARTER,ORACLE_STARTER_IDENTITY_ONLY,False,False,CREDITED,
2025,2,REG,2025-09-14,2025_02_CAR_ARI,CAR,ARI,home,ARI,CAR,Kyler Murray,MurrKy00,00-0035228,STATHEAD_UNAMBIGUOUS_SINGLE_CANDIDATE,STATHEAD_QB_STARTED_QUERY,2025_02_CAR_ARI,2025 Stathead pasted rank 243,243,POSTGAME_ACTUAL_STARTER,ORACLE_STARTER_IDENTITY_ONLY,False,False,CREDITED,
2025,2,REG,2025-09-14,2025_02_CHI_DET,CHI,DET,away,CHI,DET,Caleb Williams,WillCa03,00-0039918,STATHEAD_UNAMBIGUOUS_SINGLE_CANDIDATE,STATHEAD_QB_STARTED_QUERY,2025_02_CHI_DET,2025 Stathead pasted rank 21,21,POSTGAME_ACTUAL_STARTER,ORACLE_STARTER_IDENTITY_ONLY,False,False,CREDITED,
2025,2,REG,2025-09-14,2025_02_CHI_DET,CHI,DET,home,DET,CHI,Jared Goff,GoffJa00,00-0033106,STATHEAD_UNAMBIGUOUS_SINGLE_CANDIDATE,STATHEAD_QB_STARTED_QUERY,2025_02_CHI_DET,2025 Stathead pasted rank 431,431,POSTGAME_ACTUAL_STARTER,ORACLE_STARTER_IDENTITY_ONLY,False,False,CREDITED,
2025,2,REG,2025-09-14,2025_02_CLE_BAL,CLE,BAL,away,CLE,BAL,Joe Flacco,FlacJo00,00-0026158,STATHEAD_UNAMBIGUOUS_SINGLE_CANDIDATE,STATHEAD_QB_STARTED_QUERY,2025_02_CLE_BAL,2025 Stathead pasted rank 460,460,POSTGAME_ACTUAL_STARTER,ORACLE_STARTER_IDENTITY_ONLY,False,False,CREDITED,
2025,2,REG,2025-09-14,2025_02_CLE_BAL,CLE,BAL,home,BAL,CLE,Lamar Jackson,JackLa00,00-0034796,STATHEAD_UNAMBIGUOUS_SINGLE_CANDIDATE,STATHEAD_QB_STARTED_QUERY,2025_02_CLE_BAL,2025 Stathead pasted rank 382,382,POSTGAME_ACTUAL_STARTER,ORACLE_STARTER_IDENTITY_ONLY,False,False,CREDITED,
2025,2,REG,2025-09-14,2025_02_DEN_IND,DEN,IND,away,DEN,IND,Bo Nix,NixxBo00,00-0039732,STATHEAD_UNAMBIGUOUS_SINGLE_CANDIDATE,STATHEAD_QB_STARTED_QUERY,2025_02_DEN_IND,2025 Stathead pasted rank 226,226,POSTGAME_ACTUAL_STARTER,ORACLE_STARTER_IDENTITY_ONLY,False,False,CREDITED,
2025,2,REG,2025-09-14,2025_02_DEN_IND,DEN,IND,home,IND,DEN,Daniel Jones,JoneDa05,00-0035710,STATHEAD_UNAMBIGUOUS_SINGLE_CANDIDATE,STATHEAD_QB_STARTED_QUERY,2025_02_DEN_IND,2025 Stathead pasted rank 367,367,POSTGAME_ACTUAL_STARTER,ORACLE_STARTER_IDENTITY_ONLY,False,False,CREDITED,
2025,2,REG,2025-09-14,2025_02_JAX_CIN,JAX,CIN,away,JAX,CIN,Trevor Lawrence,LawrTr00,00-0036971,STATHEAD_UNAMBIGUOUS_SINGLE_CANDIDATE,STATHEAD_QB_STARTED_QUERY,2025_02_JAX_CIN,2025 Stathead pasted rank 340,340,POSTGAME_ACTUAL_STARTER,ORACLE_STARTER_IDENTITY_ONLY,False,False,CREDITED,
2025,2,REG,2025-09-14,2025_02_JAX_CIN,JAX,CIN,home,CIN,JAX,Joe Burrow,BurrJo01,00-0036442,STATHEAD_UNAMBIGUOUS_SINGLE_CANDIDATE,STATHEAD_QB_STARTED_QUERY,2025_02_JAX_CIN,2025 Stathead pasted rank 528,528,POSTGAME_ACTUAL_STARTER,ORACLE_STARTER_IDENTITY_ONLY,False,False,CREDITED,
2025,2,REG,2025-09-15,2025_02_LAC_LV,LAC,LV,away,LAC,LV,Justin Herbert,HerbJu00,00-0036355,STATHEAD_UNAMBIGUOUS_SINGLE_CANDIDATE,STATHEAD_QB_STARTED_QUERY,2025_02_LAC_LV,2025 Stathead pasted rank 414,414,POSTGAME_ACTUAL_STARTER,ORACLE_STARTER_IDENTITY_ONLY,False,False,CREDITED,
2025,2,REG,2025-09-15,2025_02_LAC_LV,LAC,LV,home,LV,LAC,Geno Smith,SmitGe00,00-0030565,STATHEAD_UNAMBIGUOUS_SINGLE_CANDIDATE,STATHEAD_QB_STARTED_QUERY,2025_02_LAC_LV,2025 Stathead pasted rank 16,16,POSTGAME_ACTUAL_STARTER,ORACLE_STARTER_IDENTITY_ONLY,False,False,CREDITED,
2025,2,REG,2025-09-14,2025_02_LA_TEN,LAR,TEN,away,LAR,TEN,Matthew Stafford,StafMa00,00-0026498,STATHEAD_UNAMBIGUOUS_SINGLE_CANDIDATE,STATHEAD_QB_STARTED_QUERY,2025_02_LA_TEN,2025 Stathead pasted rank 17,17,POSTGAME_ACTUAL_STARTER,ORACLE_STARTER_IDENTITY_ONLY,False,False,CREDITED,
2025,2,REG,2025-09-14,2025_02_LA_TEN,LAR,TEN,home,TEN,LAR,Cam Ward,WardCa00,00-0040676,STATHEAD_UNAMBIGUOUS_SINGLE_CANDIDATE,STATHEAD_QB_STARTED_QUERY,2025_02_LA_TEN,2025 Stathead pasted rank 20,20,POSTGAME_ACTUAL_STARTER,ORACLE_STARTER_IDENTITY_ONLY,False,False,CREDITED,
2025,2,REG,2025-09-14,2025_02_NE_MIA,NE,MIA,away,NE,MIA,Drake Maye,MayeDr00,00-0039851,STATHEAD_UNAMBIGUOUS_SINGLE_CANDIDATE,STATHEAD_QB_STARTED_QUERY,2025_02_NE_MIA,2025 Stathead pasted rank 282,282,POSTGAME_ACTUAL_STARTER,ORACLE_STARTER_IDENTITY_ONLY,False,False,CREDITED,
2025,2,REG,2025-09-14,2025_02_NE_MIA,NE,MIA,home,MIA,NE,Tua Tagovailoa,TagoTu00,00-0036212,STATHEAD_UNAMBIGUOUS_SINGLE_CANDIDATE,STATHEAD_QB_STARTED_QUERY,2025_02_NE_MIA,2025 Stathead pasted rank 19,19,POSTGAME_ACTUAL_STARTER,ORACLE_STARTER_IDENTITY_ONLY,False,False,CREDITED,
2025,2,REG,2025-09-14,2025_02_NYG_DAL,NYG,DAL,away,NYG,DAL,Russell Wilson,WilsRu00,00-0029263,STATHEAD_UNAMBIGUOUS_SINGLE_CANDIDATE,STATHEAD_QB_STARTED_QUERY,2025_02_NYG_DAL,2025 Stathead pasted rank 22,22,POSTGAME_ACTUAL_STARTER,ORACLE_STARTER_IDENTITY_ONLY,False,False,CREDITED,
2025,2,REG,2025-09-14,2025_02_NYG_DAL,NYG,DAL,home,DAL,NYG,Dak Prescott,PresDa01,00-0033077,STATHEAD_UNAMBIGUOUS_SINGLE_CANDIDATE,STATHEAD_QB_STARTED_QUERY,2025_02_NYG_DAL,2025 Stathead pasted rank 13,13,POSTGAME_ACTUAL_STARTER,ORACLE_STARTER_IDENTITY_ONLY,False,False,CREDITED,
